Date,Item,Brand,Initial Quantity,Uniquekey,Remaining Quantity,,,Purchase Rate,Total Purchase Rate,,
26-Oct-25,6mm cable,Oplite,360,6mm cable Oplite,360,✅ In Stock,,12.66,4557.6,,
26-Oct-25,10mm cable,Oplite,150,10mm cable Oplite,-20,⚠️ Low Stock,,19.33,2899.5,,
26-Oct-25,6mm cable,Rklite,180,6mm cable Rklite,180,✅ In Stock,,14.33,2579.4,,
27-Oct-25,Cutter,Pye,16,Cutter Pye,16,⚠️ Low Stock,,46,736,,
27-Oct-25,Tester,local,12,Tester local,,⚠️ Low Stock,,28,336,,
28-Oct-25,Tester,Tapariya,13,Tester Tapariya,12,⚠️ Low Stock,,35,455,,
29-Oct-25,Patti,Oplite,130,Patti Oplite,128,✅ In Stock,,31,4030,,
29-Oct-25,Tape,Anchor,230,Tape Anchor,202,✅ In Stock,,7,1610,,
29-Oct-25,Cancealed light,surya,32,Cancealed light surya,32,✅ In Stock,,74,2368,,
24-Nov-25,Fan Heater,local,12,Fan Heater local,11,⚠️ Low Stock,,650,7800,,
24-Nov-25,Water heater rod,Air India,8,Water heater rod - Air India,6,⚠️ Low Stock,,200,1600,,
24-Nov-25,Charging bulb,bajaj,1,ketal water heater ,1,⚠️ Low Stock,,210,210,,
24-Nov-25,Ketal water heater,raider,5,Ketal water heater local,4,⚠️ Low Stock,,330,1650,,
24-Nov-25,12 m metal box,Scon,10,12 m metal mcb box,10,⚠️ Low Stock,,72,720,,
24-Nov-25,6 m metal box,Scon,10,10 m metal mcb box ,10,⚠️ Low Stock,,52,520,,
24-Nov-25,3 m metal box,Scon,4,8m  metalmcb box ,4,⚠️ Low Stock,,32,128,,
24-Nov-25,Switch,local,6,sun heater,6,⚠️ Low Stock,,11,66,,
24-Nov-25,Pipe,Oplite,250,Pipe oplite,211,✅ In Stock,,27.6,6900,,
24-Nov-25,Wide Tape,Local,20,Wide Tape local,18,⚠️ Low Stock,,19,380,,
24-Nov-25,clip,suntreck,11,indection,11,⚠️ Low Stock,,0.9,9.9,,
24-Nov-25,pilas,taparia,5,pilas taparia,4,⚠️ Low Stock,,75,375,,
24-Nov-25,rode,local,1,rode ts,1,⚠️ Low Stock,,200,200,,
24-Nov-25,poster nails,local,56,poster nails local,54,✅ In Stock,,10,560,,
,,local,12,25mm clip,12,⚠️ Low Stock,,90,1080,,
08\01\2026,rr,local,9,14mm clip,9,⚠️ Low Stock,,85,765,,
09\01\2026,reo,local,9,10mm clip,9,⚠️ Low Stock,,65,585,,
09\01\2026,mcb box ,local,24,6mm clip,24,✅ In Stock,,30,720,,
09\01\2026,mcb box ,local,15,guli,15,⚠️ Low Stock,,20,300,,
,,Local,2,400mm tye,2,⚠️ Low Stock,,95,190,,
,,Local,9,300mm tye,9,⚠️ Low Stock,,65,585,,
,,Local,10,150mm tye,10,⚠️ Low Stock,,45,450,,
,,Local,5,100mm tye,5,⚠️ Low Stock,,30,150,,
,,Billtech,50,night bulb,50,✅ In Stock,,25,1250,,
,,hilex,8,4in1 extantoin bord,8,⚠️ Low Stock,,175,1400,,
,,alpha,10,plex bord,10,⚠️ Low Stock,,85,850,,
,,,,,0,⚠️ Low Stock,,,0,,
,,,,,0,⚠️ Low Stock,,,0,,
,,,,,0,⚠️ Low Stock,,,0,,
,,,,,0,⚠️ Low Stock,,,0,,
,,,,,0,⚠️ Low Stock,,,0,,
,,,,,0,⚠️ Low Stock,,,0,,
,,,,,0,⚠️ Low Stock,,,0,,
,,,,,0,⚠️ Low Stock,,,0,,
,,,,,0,⚠️ Low Stock,,,0,,
,,,,,0,⚠️ Low Stock,,,0,,
,,,,,0,⚠️ Low Stock,,,0,,
,,,,,0,⚠️ Low Stock,,,0,,
